"Ano base","UF","Classe Substância","Substância Mineral","Quantidade Produção","Unidade de Medida - Produção","Quantidade Contido","Unidade de Medida - Contido","Indicação Contido","Quantidade Venda","Unidade de Medida - Venda","Valor Venda (R$)","Quantidade Consumo/Utilização na Usina","Unidade de Medida - Consumo/Utilização na Usina","Valor Consumo / Utilização na Usina (R$)","Quantidade Transferência para Transformação / Utilização / Consumo","Unidade de Medida - Transferência para Transformação / Utilização / Consumo","Valor Transferência para Transformação / Utilização / Consumo (R$)"
"2010","MA","Metálicos","Ouro","506,72579999999999","kg","471,254990000000000","kg","Au","432,95690000000002","kg","31961,892280000004","0","kg","0","0","kg","0"
"2010","MA","Não-Metálicos","Areia","3361","t",",000000000000000","-","","3361","t","16355","0","t","0","0","t","0"
"2010","MA","Não-Metálicos","Argilas","153809,10000000003","t",",000000000000000","-","","35546,869999999995","t","3347112,5600000001","118177,28000000001","t","875876,01000000001","0","t","0"
"2010","MA","Não-Metálicos","Calcário","273029","t",",000000000000000","-","","273029","t","6970223,5499999998","0","t","0","0","t","0"
"2010","MA","Não-Metálicos","Rochas (Britadas) e Cascalho","1640172,99","t",",000000000000000","-","","1647501,3999999999","t","44190175,549999997","0","t","0","0","t","0"
"2010","MG","Gemas e Diamantes","Diamante","10659,109999999999","ct","10659,110000000000000","ct","","7620,4700000000003","ct","3653583,7199999997","0","ct","0","0","ct","0"
"2010","MG","Gemas e Diamantes","Gemas","486,99372000000005","kg","486,993720000000000","kg","","361,46735999999999","kg","8760,285460000001","19,040749999999999","kg","118,0497","0","kg","0"
"2010","MG","Metálicos","Alumínio (Bauxita)","2968433,5800000001","t","1286851,460000000000000","t","Al2O3","6295,6599999999999","t","2022147,8500000001","0","t","0","2964851,3399999999","t","134315799,75"
"2010","MG","Metálicos","Chumbo","19650,360000000001","t","12832,380000000000000","t","Pb","19739,98","t","27013105,600000001","0","t","0","0","t","0"
"2010","MG","Metálicos","Estanho","451039","kg","316957,000000000000000","kg","Sn","417759","kg","4447408,0199999996","0","kg","0","0","kg","0"
"2010","MG","Metálicos","Ferro","262341144,82999995","t","165409770,330000000000000","t","Fe","181276735,16999999","t","26535255660,029991","4846896","t","127418118,17999999","72347311,390000001","t","4143302072,3400002"
"2010","MG","Metálicos","Lítio","7262","t","363,100000000000000","t","Li2O","49,130000000000003","t","43717","0","t","0","6630,1999999999998","t","5263443,6500000004"
"2010","MG","Metálicos","Manganês","694985,55999999994","t","136868,800000000000000","t","Mn","593494,77999999991","t","55908647,509999998","2450","t","192500","141404,07000000001","t","14489526,579999998"
"2010","MG","Metálicos","Nióbio","139125","t","74974,000000000000000","t","Nb2O5","0","t","0","0","t","0","139125","t","133949200"
"2010","MG","Metálicos","Níquel","79479","t","13210,830000000000000","t"," Ni","29250,68","t","443950574,88999999","50367","t","9474091,2699999996","0","t","0"
"2010","MG","Metálicos","Ouro","30767,103999999999","kg","30767,102000000000000","kg","Au","30510,739000000001","kg","2109878,6240699999","0","kg","0","0","kg","0"
"2010","MG","Metálicos","Prata","6113,9619999999995","kg","6113,962000000000000","kg","Ag","6164,0290000000005","kg","7235,4873000000007","0","kg","0","0","kg","0"
"2010","MG","Metálicos","Tântalo","773,85000000000002","t","150,000000000000000","t","Ta2O5","747,70000000000005","t","15970972,789999999","0","t","0","0","t","0"
"2010","MG","Metálicos","Zinco","495584,39000000001","t","211202,710000000000000","t","Zn","86958,380000000005","t","72340491,299999997","0","t","0","397419","t","52471230,469999999"
"2010","MG","Não-Metálicos","Areia","535507,77000000002","t",",000000000000000","-","","531586,41999999993","t","9117174,5799999982","0","t","0","0","t","0"
"2010","MG","Não-Metálicos","Areias Industriais","768505,17999999993","t",",000000000000000","-","","369826,21000000002","t","18595888,02","41358,07","t","144753,22","349238,08000000002","t","5546405,379999999"
"2010","MG","Não-Metálicos","Argilas","1659124,52","t",",000000000000000","-","","713312,43999999994","t","6744286,1000000006","253309,26000000001","t","620607,68999999994","689401,18000000005","t","19708066,739999998"
"2010","MG","Não-Metálicos","Calcário","40194897,350000009","t",",000000000000000","-","","20538014,080000009","t","371536775,86000001","3190416,0600000001","t","11203431,359999999","16692270,23","t","172869451,25999999"
"2010","MG","Não-Metálicos","Caulim","523","t",",000000000000000","-","","523","t","5225","0","t","0","0","t","0"
"2010","MG","Não-Metálicos","Cianita e outros minerais refratários","0","t",",000000000000000","-","","0","t","0","0","t","0","291","t","120485,83"
"2010","MG","Não-Metálicos","Enxofre","291351,45999999996","t","69739,830000000000000","t","S","298245,83999999997","t","70648002,879999995","0","t","0","0","t","0"
"2010","MG","Não-Metálicos","Feldspato, Leucita e Nefelina-Sienito","146122,16","t",",000000000000000","-","","136867,32000000001","t","16397493,530000001","0","t","0","0","t","0"
"2010","MG","Não-Metálicos","Fosfato","3482345,6899999999","t","1217440,980000000000000","t","P2O5","46607,389999999999","t","3246635,8700000001","895430,35000000009","t","151264718,99000001","3191027,52","t","355269341,95999998"
"2010","MG","Não-Metálicos","Grafita","72497,809999999998","t","58042,750000000000000","t","","71383,279999999999","t","114481531,09","0","t","0","0","t","0"
"2010","MG","Não-Metálicos","Rochas (Britadas) e Cascalho","14692555,974999998","t",",000000000000000","-","","13795397,429999998","t","341443374,60500008","86218","t","1033645","63113,689999999995","t","644635,12"
"2010","MG","Não-Metálicos","Rochas Ornamentais","3995","t",",000000000000000","-","","3697","t","1323103,5800000001","0","t","0","0","t","0"
"2010","MG","Não-Metálicos","Talco e outras Cargas Minerais","640106,07000000007","t",",000000000000000","-","","535721,92000000004","t","26248540,34","0","t","0","0","t","0"
"2010","MS","Gemas e Diamantes","Diamante","0","ct",",000000000000000","ct","","0","ct","0","0","ct","0","0","ct","0"
"2010","MS","Metálicos","Ferro","6575434","t","4175411,760000000000000","t","Fe","4715988,7999999998","t","629603935,44000006","0","t","0","0","t","0"
"2010","MS","Metálicos","Manganês","203784","t","89144,010000000000000","t","Mn","299089","t","111433681,97","0","t","0","0","t","0"
"2010","MS","Não-Metálicos","Areia","535770,8899999999","t",",000000000000000","-","","528478,52999999991","t","6522952,1799999997","0","t","0","0","t","0"
"2010","MS","Não-Metálicos","Argilas","440266,71999999997","t",",000000000000000","-","","61583,220000000001","t","2827495,5899999999","295158,28000000003","t","3035829,4100000001","78728,399999999994","t","12"
"2010","MS","Não-Metálicos","Calcário","2061871,2799999998","t",",000000000000000","-","","1000367,77","t","20626708,620000001","0","t","0","1026356,9199999999","t","8422109,0899999999"
"2010","MS","Não-Metálicos","Dolomito e Magnesita","765862,88","t",",000000000000000","-","","779774,50999999989","t","20597400,030000001","0","t","0","0","t","0"
"2010","MS","Não-Metálicos","Rochas (Britadas) e Cascalho","4186043,8100000005","t",",000000000000000","-","","4103827,2199999997","t","69090449,189999998","0","t","0","219331,21999999997","t","1756396,77"
"2010","MS","Não-Metálicos","Talco e outras Cargas Minerais","222070,67999999999","t",",000000000000000","-","","0","t","0","0","t","0","222070,67999999999","t","1423682,8999999999"
"2010","MT","Gemas e Diamantes","Diamante","8405,8299999999999","ct","8352,450000000000000","ct","","16843,34","ct","1446801,7500000002","0","ct","0","0","ct","0"
"2010","MT","Metálicos","Estanho","208248","kg","145774,000000000000000","kg","Sn","208248","kg","3115467,7999999998","0","kg","0","0","kg","0"
"2010","MT","Metálicos","Ferro","36150,919999999998","t",",000000000000000","-","Fe","0","t","0","0","t","0","36150,919999999998","t","416050,02000000002"
"2010","MT","Metálicos","Ouro","4132,6155499999995","kg","3970,796990000000000","kg","Au","4137,4901","kg","284256,53469","9,5059700000000014","kg","701,49800000000005","0","kg","0"
"2010","MT","Não-Metálicos","Areia","3211,0999999999999","t",",000000000000000","-","","3068,7399999999998","t","80446,729999999996","0","t","0","0","t","0"
"2010","MT","Não-Metálicos","Argilas","204648,60999999999","t",",000000000000000","-","","42063,989999999998","t","5041141,9900000002","0","t","0","92959,470000000001","t","1069842,8799999999"
"2010","MT","Não-Metálicos","Calcário","4745624,4300000006","t",",000000000000000","-","","3657161,7399999998","t","92994311,809999987","0","t","0","1121400,0600000001","t","11187069,880000001"
"2010","MT","Não-Metálicos","Dolomito e Magnesita","537035","t",",000000000000000","-","","531639,18999999994","t","10072404,85","0","t","0","0","t","0"
"2010","MT","Não-Metálicos","Rochas (Britadas) e Cascalho","2492806,21","t",",000000000000000","-","","2489832,2999999998","t","58814619,349999964","0","t","0","9148,0799999999999","t","118925,03999999999"
"2010","PA","Gemas e Diamantes","Gemas","180952","kg","180952,000000000000000","kg","","180952","kg","181132,78","0","kg","0","0","kg","0"
"2010","PA","Metálicos","Alumínio (Bauxita)","27106990,020000003","t","13127711,210000000000000","t","Al2O3","27588772,649999999","t","1595263659,96","0","t","0","0","t","0"
"2010","PA","Metálicos","Cobre","394294","t","117221,000000000000000","t","Cu","422433,29999999999","t","1433448500,51","11177,65","t","24613831,899999999","0","t","0"
"2010","PA","Metálicos","Ferro","101769670,98","t","66677560,790000000000000","t","Fe","92569910,629999995","t","13923996643,460001","0","t","0","6037355","t","173155636,43000001"
"2010","PA","Metálicos","Manganês","2197525,7800000003","t","978068,220000000000000","t","Mn","2171084,4199999999","t","656767487,39999998","0","t","0","181055,73000000001","t","18465358,579999998"
"2010","PA","Metálicos","Ouro","1342,2044200000003","kg","1342,078810000000000","kg","Au","1392,4783800000002","kg","96420,638180000009","0","kg","0","0","kg","0"
"2010","PA","Metálicos","Tungstênio","172,75","t","112,280000000000000","t","WO3","159,5","t","3291688,8799999999","0","t","0","0","t","0"
"2010","PA","Não-Metálicos","Areia","0","t",",000000000000000","-","","0","t","26617,360000000001","0","t","0","0","t","0"
"2010","PA","Não-Metálicos","Areias Industriais","19864,259999999998","t",",000000000000000","-","","0","t","0","0","t","0","19864,259999999998","t","2468588,2999999998"
"2010","PA","Não-Metálicos","Argilas","11180","t",",000000000000000","-","","11180","t","1346119","0","t","0","0","t","0"
